,Municipio,Año,Sexo,Tipo,Defunciones
36,        Haría,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"36,50"
37,        San Bartolomé,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
38,        Teguise,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"26,06"
39,        Tías,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
40,        Tinajo,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"30,11"
41,        Yaiza,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"11,38"
42,        Antigua,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"14,75"
43,        Betancuria,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,....
44,        Oliva (La),2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"7,01"
45,        Pájara,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
46,        Puerto del Rosario,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"9,48"
48,        Agaete,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
49,        Agüimes,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"18,57"
50,        Artenara,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,....
51,        Arucas,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"20,92"
52,        Firgas,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"26,50"
53,        Gáldar,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"8,19"
54,        Ingenio,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"43,89"
55,        Mogán,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"9,43"
56,        Moya,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
57,        Palmas de Gran Canaria (Las),2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"36,02"
58,        San Bartolomé de Tirajana,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"39,56"
59,        Aldea de San Nicolás (La),2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
60,        Santa Brígida,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"54,78"
61,        Santa Lucía,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"24,37"
62,        Santa María de Guía,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"43,42"
64,        Telde,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"19,82"
65,        Teror,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"46,63"
66,        Valsequillo,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"21,27"
67,        Valleseco,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
68,        Vega de San Mateo,2020,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"127,49"
70,        Arrecife,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"12,51"
72,        San Bartolomé,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
73,        Teguise,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"8,81"
74,        Tías,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
75,        Tinajo,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
76,        Yaiza,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"34,48"
77,        Antigua,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
78,        Betancuria,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
79,        Oliva (La),2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
80,        Pájara,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
81,        Puerto del Rosario,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"14,36"
82,        Tuineje,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
83,        Agaete,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
84,        Agüimes,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"6,23"
85,        Artenara,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
86,        Arucas,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
87,        Firgas,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
88,        Gáldar,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"32,97"
89,        Ingenio,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"6,32"
90,        Mogán,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
91,        Moya,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
92,        Palmas de Gran Canaria (Las),2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"16,88"
93,        San Bartolomé de Tirajana,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"10,76"
94,        Aldea de San Nicolás (La),2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"26,02"
96,        Santa Lucía,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
97,        Santa María de Guía,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"14,47"
98,        Tejeda,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
99,        Telde,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"9,91"
100,        Teror,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
101,        Valsequillo,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
102,        Valleseco,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
103,        Vega de San Mateo,2019,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"25,62"
105,        Arrecife,2021,Hombres,II. TUMORES [NEOPLASIAS],"214,37"
106,        Haría,2021,Hombres,II. TUMORES [NEOPLASIAS],"325,97"
107,        San Bartolomé,2021,Hombres,II. TUMORES [NEOPLASIAS],"168,71"
108,        Teguise,2021,Hombres,II. TUMORES [NEOPLASIAS],"291,45"
109,        Tías,2021,Hombres,II. TUMORES [NEOPLASIAS],"149,77"
110,        Tinajo,2021,Hombres,II. TUMORES [NEOPLASIAS],"359,60"
111,        Yaiza,2021,Hombres,II. TUMORES [NEOPLASIAS],"125,53"
112,        Antigua,2021,Hombres,II. TUMORES [NEOPLASIAS],"177,54"
113,        Betancuria,2021,Hombres,II. TUMORES [NEOPLASIAS],"0,00"
114,        Oliva (La),2021,Hombres,II. TUMORES [NEOPLASIAS],"110,83"
115,        Pájara,2021,Hombres,II. TUMORES [NEOPLASIAS],"138,07"
116,        Puerto del Rosario,2021,Hombres,II. TUMORES [NEOPLASIAS],"246,75"
117,        Tuineje,2021,Hombres,II. TUMORES [NEOPLASIAS],"189,66"
118,        Agaete,2021,Hombres,II. TUMORES [NEOPLASIAS],"280,80"
120,        Artenara,2021,Hombres,II. TUMORES [NEOPLASIAS],"336,70"
121,        Arucas,2021,Hombres,II. TUMORES [NEOPLASIAS],"266,95"
122,        Firgas,2021,Hombres,II. TUMORES [NEOPLASIAS],"104,88"
123,        Gáldar,2021,Hombres,II. TUMORES [NEOPLASIAS],"252,59"
124,        Ingenio,2021,Hombres,II. TUMORES [NEOPLASIAS],"168,47"
125,        Mogán,2021,Hombres,II. TUMORES [NEOPLASIAS],"237,30"
126,        Moya,2021,Hombres,II. TUMORES [NEOPLASIAS],"325,73"
128,        San Bartolomé de Tirajana,2021,Hombres,II. TUMORES [NEOPLASIAS],"274,00"
129,        Aldea de San Nicolás (La),2021,Hombres,II. TUMORES [NEOPLASIAS],"231,90"
130,        Santa Brígida,2021,Hombres,II. TUMORES [NEOPLASIAS],"240,59"
131,        Santa Lucía,2021,Hombres,II. TUMORES [NEOPLASIAS],"206,29"
132,        Santa María de Guía,2021,Hombres,II. TUMORES [NEOPLASIAS],"246,23"
133,        Tejeda,2021,Hombres,II. TUMORES [NEOPLASIAS],"199,20"
134,        Telde,2021,Hombres,II. TUMORES [NEOPLASIAS],"254,03"
135,        Teror,2021,Hombres,II. TUMORES [NEOPLASIAS],"108,14"
136,        Valsequillo,2021,Hombres,II. TUMORES [NEOPLASIAS],"211,24"
137,        Valleseco,2021,Hombres,II. TUMORES [NEOPLASIAS],"305,65"
138,        Vega de San Mateo,2021,Hombres,II. TUMORES [NEOPLASIAS],"430,93"
140,        Arrecife,2020,Hombres,II. TUMORES [NEOPLASIAS],"203,60"
141,        Haría,2020,Hombres,II. TUMORES [NEOPLASIAS],"364,96"
142,        San Bartolomé,2020,Hombres,II. TUMORES [NEOPLASIAS],"209,60"
144,        Tías,2020,Hombres,II. TUMORES [NEOPLASIAS],"225,90"
145,        Tinajo,2020,Hombres,II. TUMORES [NEOPLASIAS],"240,89"
146,        Yaiza,2020,Hombres,II. TUMORES [NEOPLASIAS],"125,17"
147,        Antigua,2020,Hombres,II. TUMORES [NEOPLASIAS],"117,98"
148,        Betancuria,2020,Hombres,II. TUMORES [NEOPLASIAS],....
149,        Oliva (La),2020,Hombres,II. TUMORES [NEOPLASIAS],"154,18"
150,        Pájara,2020,Hombres,II. TUMORES [NEOPLASIAS],"145,03"
151,        Puerto del Rosario,2020,Hombres,II. TUMORES [NEOPLASIAS],"180,04"
152,        Tuineje,2020,Hombres,II. TUMORES [NEOPLASIAS],"163,71"
153,        Agaete,2020,Hombres,II. TUMORES [NEOPLASIAS],"247,52"
154,        Agüimes,2020,Hombres,II. TUMORES [NEOPLASIAS],"222,79"
155,        Artenara,2020,Hombres,II. TUMORES [NEOPLASIAS],....
156,        Arucas,2020,Hombres,II. TUMORES [NEOPLASIAS],"329,57"
157,        Firgas,2020,Hombres,II. TUMORES [NEOPLASIAS],"211,98"
158,        Gáldar,2020,Hombres,II. TUMORES [NEOPLASIAS],"294,94"
160,        Mogán,2020,Hombres,II. TUMORES [NEOPLASIAS],"160,39"
161,        Moya,2020,Hombres,II. TUMORES [NEOPLASIAS],"303,03"
162,        Palmas de Gran Canaria (Las),2020,Hombres,II. TUMORES [NEOPLASIAS],"315,44"
163,        San Bartolomé de Tirajana,2020,Hombres,II. TUMORES [NEOPLASIAS],"240,96"
164,        Aldea de San Nicolás (La),2020,Hombres,II. TUMORES [NEOPLASIAS],"155,72"
165,        Santa Brígida,2020,Hombres,II. TUMORES [NEOPLASIAS],"306,78"
166,        Santa Lucía,2020,Hombres,II. TUMORES [NEOPLASIAS],"173,31"
168,        Tejeda,2020,Hombres,II. TUMORES [NEOPLASIAS],"393,70"
169,        Telde,2020,Hombres,II. TUMORES [NEOPLASIAS],"255,72"
170,        Teror,2020,Hombres,II. TUMORES [NEOPLASIAS],"326,39"
171,        Valsequillo,2020,Hombres,II. TUMORES [NEOPLASIAS],"233,99"
172,        Valleseco,2020,Hombres,II. TUMORES [NEOPLASIAS],"305,65"
173,        Vega de San Mateo,2020,Hombres,II. TUMORES [NEOPLASIAS],"229,47"
175,        Arrecife,2019,Hombres,II. TUMORES [NEOPLASIAS],"200,14"
176,        Haría,2019,Hombres,II. TUMORES [NEOPLASIAS],"186,78"
177,        San Bartolomé,2019,Hombres,II. TUMORES [NEOPLASIAS],"126,49"
178,        Teguise,2019,Hombres,II. TUMORES [NEOPLASIAS],"229,16"
179,        Tías,2019,Hombres,II. TUMORES [NEOPLASIAS],"219,44"
180,        Tinajo,2019,Hombres,II. TUMORES [NEOPLASIAS],"305,06"
181,        Yaiza,2019,Hombres,II. TUMORES [NEOPLASIAS],"160,90"
182,        Antigua,2019,Hombres,II. TUMORES [NEOPLASIAS],"178,49"
183,        Betancuria,2019,Hombres,II. TUMORES [NEOPLASIAS],"1.007,56"
184,        Oliva (La),2019,Hombres,II. TUMORES [NEOPLASIAS],"171,64"
185,        Pájara,2019,Hombres,II. TUMORES [NEOPLASIAS],"117,67"
186,        Puerto del Rosario,2019,Hombres,II. TUMORES [NEOPLASIAS],"186,67"
187,        Tuineje,2019,Hombres,II. TUMORES [NEOPLASIAS],"126,71"
188,        Agaete,2019,Hombres,II. TUMORES [NEOPLASIAS],"357,65"
189,        Agüimes,2019,Hombres,II. TUMORES [NEOPLASIAS],"168,20"
190,        Artenara,2019,Hombres,II. TUMORES [NEOPLASIAS],"0,00"
192,        Firgas,2019,Hombres,II. TUMORES [NEOPLASIAS],"212,99"
193,        Gáldar,2019,Hombres,II. TUMORES [NEOPLASIAS],"247,28"
194,        Ingenio,2019,Hombres,II. TUMORES [NEOPLASIAS],"195,77"
195,        Mogán,2019,Hombres,II. TUMORES [NEOPLASIAS],"105,01"
196,        Moya,2019,Hombres,II. TUMORES [NEOPLASIAS],"305,65"
197,        Palmas de Gran Canaria (Las),2019,Hombres,II. TUMORES [NEOPLASIAS],"301,10"
198,        San Bartolomé de Tirajana,2019,Hombres,II. TUMORES [NEOPLASIAS],"200,91"
199,        Aldea de San Nicolás (La),2019,Hombres,II. TUMORES [NEOPLASIAS],"312,26"
200,        Santa Brígida,2019,Hombres,II. TUMORES [NEOPLASIAS],"340,29"
201,        Santa Lucía,2019,Hombres,II. TUMORES [NEOPLASIAS],"148,96"
202,        Santa María de Guía,2019,Hombres,II. TUMORES [NEOPLASIAS],"217,05"
203,        Tejeda,2019,Hombres,II. TUMORES [NEOPLASIAS],"97,66"
204,        Telde,2019,Hombres,II. TUMORES [NEOPLASIAS],"267,67"
205,        Teror,2019,Hombres,II. TUMORES [NEOPLASIAS],"264,84"
206,        Valsequillo,2019,Hombres,II. TUMORES [NEOPLASIAS],"191,61"
207,        Valleseco,2019,Hombres,II. TUMORES [NEOPLASIAS],"407,96"
208,        Vega de San Mateo,2019,Hombres,II. TUMORES [NEOPLASIAS],"409,94"
210,        Arrecife,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"3,11"
211,        Haría,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
212,        San Bartolomé,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
213,        Teguise,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"8,57"
214,        Tías,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
216,        Yaiza,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"11,41"
217,        Antigua,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"14,80"
218,        Betancuria,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
219,        Oliva (La),2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
220,        Pájara,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
221,        Puerto del Rosario,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
222,        Tuineje,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
224,        Agüimes,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
225,        Artenara,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
226,        Arucas,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
227,        Firgas,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
228,        Gáldar,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
229,        Ingenio,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
230,        Mogán,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
231,        Moya,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
232,        Palmas de Gran Canaria (Las),2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"2,74"
233,        San Bartolomé de Tirajana,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"7,21"
234,        Aldea de San Nicolás (La),2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"25,77"
235,        Santa Brígida,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
236,        Santa Lucía,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"2,71"
237,        Santa María de Guía,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
238,        Tejeda,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
240,        Teror,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
241,        Valsequillo,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
242,        Valleseco,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
243,        Vega de San Mateo,2021,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
245,        Arrecife,2020,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"3,08"
246,        Haría,2020,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
247,        San Bartolomé,2020,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
248,        Teguise,2020,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
249,        Tías,2020,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
250,        Tinajo,2020,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
251,        Yaiza,2020,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
252,        Antigua,2020,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"0,00"
253,        Betancuria,2020,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,....
254,        Oliva (La),2020,Hombres,III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,"7,01"
